Epoch,Success Rate
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.1
1000,0.0
1100,0.0
1200,0.2
1300,0.1
1400,0.1
1500,0.1
1600,0.1
1700,0.1
1800,0.1
1900,0.2
2000,0.0
2100,0.1
2200,0.2
2300,0.1
2400,0.1
2500,0.4
2600,0.1
2700,0.2
2800,0.4
2900,0.2
3000,0.3
3100,0.2
3200,0.1
3300,0.5
3400,0.3
3500,0.2
3600,0.4
3700,0.2
3800,0.3
3900,0.4
4000,0.0
4100,0.3
4200,0.3
4300,0.2
4400,0.4
4500,0.3
4600,0.1
4700,0.4
4800,0.6
4900,0.4
5000,0.4
5100,0.3
5200,0.7
5300,0.3
5400,0.4
5500,0.6
5600,0.5
5700,0.4
5800,0.4
5900,0.4
6000,0.6
6100,0.7
6200,0.5
6300,0.4
6400,0.4
6500,0.4
6600,0.2
6700,0.1
6800,0.3
6900,0.2
7000,0.3
7100,0.4
7200,0.4
7300,0.5
7400,0.6
7500,0.6
7600,0.6
7700,0.3
7800,0.7
7900,0.1
8000,0.4
8100,0.4
8200,0.6
8300,0.5
8400,0.4
8500,0.1
8600,0.3
8700,0.5
8800,0.5
8900,0.2
9000,0.8
9100,0.2
9200,0.3
9300,0.5
9400,0.4
9500,0.4
9600,0.5
9700,0.7
9800,0.3
9900,0.1
10000,0.3
